id,Stock,Beta,marketcap,trailingPE,forwardPE
352,NOEJ.DE,1.646,548989120,19.144444,7.0040646
353,NOA.TO,1.702,805201024,14.411485,6.1595097
354,MYR.AX,2.063,677938176,13.583334,13.583334
355,ILU.AX,1.089,3085029120,9.0125,11.444445
356,IFNNY,1.763,44353576960,13.773279,11.978874
357,HVN.AX,0.688,6416951296,17.166666,15.1470585
358,GNC.AX,1.058,1848536704,7.4234233,18.727272
359,EBKDY,1.579,18055331840,6.486956,5.9363394
360,DUNI.ST,1.742,5198089216,35.0,10.811339
361,DNO.OL,1.757,9506249728,46.428574,39.0
362,DANSKE.CO,0.894,176944644096,8.360988,7.9309025
363,COH.AX,0.464,22105567232,63.324577,49.781708
364,CAFO.PA,0.612,84212640,6.766917,11.538462
365,BLD.AX,1.341,6750910976,32.210526,24.48
366,BHIP.BA,1.676,218679099392,7.496741,237.6033
367,BEN.AX,1.068,5803211264,12.202381,12.974683
368,BEIJ-B.ST,1.598,80582950912,42.741936,30.576923
369,BBVA.MC,1.463,63979450368,8.55814,11.74468
370,AVBH,0.665,143744736,12.100629,6.4133334
371,AUROPHARMA.NS,0.581,637941121024,23.066736,17.478727
372,AU8U.SI,0.689,1241312128,12.250001,10.5
373,ASX.AX,0.283,12878041088,27.110203,25.844358
374,ASAZY,0.793,32019066880,24.758621,18.410257
375,ARNGF,1.524,319462624,7.3,0.76842105
376,ARKAY,1.223,7892851712,18.138556,12.899021
377,AR.TO,1.524,425474400,7.7999997,19.5
378,APLN.JK,1.099,2678516088832,2.9025054,1.8489255
379,ANA.MC,0.62,6125836288,11.410515,12.293028
380,AMS.MC,1.239,25890398208,24.460903,24.460903
381,AMP.AX,0.678,3207063552,117.0,11.7
382,AMKBY,1.192,20466993152,5.692982,0.059904005
383,AKER.OL,1.225,46323929088,16.232752,23.75238
384,AIQUY,0.657,108888858624,32.82677,34.17213
385,AGI.TO,0.973,7926192640,27.736109,22.438202
386,AGF-B.TO,1.791,524250592,6.3076925,5.8992805
387,AGESY,0.747,8531518464,8.633829,6.4513893
388,ADRO.JK,0.096,83379240304640,2.9129043,6.802378
389,ABEV3.SA,0.537,196709990400,13.576086,12.876288
390,AAL.L,1.272,26220871680,10843.333,1032.6985
391,5099.KL,0.807,3020822784,2.6296294,7.8888884
392,YAL.AX,0.302,6919105536,3.8248174,4.990476
393,VBG-B.ST,0.774,7838753792,14.794714,12.864177
394,TWE.AX,0.317,10102253568,40.16129,19.453125
395,TUIFF,2.314,4199304448,4.881579,29.68
396,TMNSF,0.892,5239905280,44.37195,18.37626
397,STB.OL,1.202,44349800448,13.679891,10.952903
398,SKA-B.ST,1.175,78182531072,15.782933,11.928616
399,SIQ.AX,0.743,1289672448,20.229168,16.183332
400,SDF.AX,0.731,6504985600,30.947369,21.0
401,SAAB-B.ST,0.536,127051063296,37.822803,24.986877
402,RO.SW,0.147,184465670144,16.993008,12.571133
403,RMS.PA,0.739,247795908608,57.60896,47.55779
